"text","hashtags","sentiment"
"young rebel star contributes 50 lakhs towards tfi s help poor film workers grand total contribution towards relief efforts 4 5 cr hatsoff ","['Prabhas', 'CCC', 'CoronaCrisisCharity']","-0.15000000000000002"
"citizens handled way poor please free immediately inhuman still care apart speeches bihar","[]","0.294140625"
" ve bene rage typing days everyday govt something dehumanizing something even farther well thought public health measure tackle covid india fuck ","[]","0.15"
"spray returning vips nris corporate executives airports like ok migrant labour remember coronavirus brought india poor international travellers spread didnt self isolate quarantine ","[]","0.25"
"student study medicine chernivitsi ukraine stuck due corona virus parents worried plz evacuate","['Covid_19', 'covid19indiansinukraine']","0"
"pakistanis defeat menace resilience courage amp collective efforts enforcing preventive measures important maintaining personal hygiene amp social distancing writes father recovered patient corona virus cm sindh","[]","0"
"join navy without iq clearly saying 14th march confirmed corona virus infection also meet people attend function spread disease innocent people ","[]","0.3333333333333333"
"16 year old under 19 cricketer richa ghosh donated one lakh rupees fight corona called king bollywood shah rukh khan paid pr company trend stop negativity srk priorities sorted ","[]","0.1"
"prizes guessing n t done airports disinfect brought india","['Covid_19']","0"
"corona took ur jobs yall worried mexicans","[]","0"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","[]","-0.30000000000000004"
"gon na funny see many yall wrong side history discrimination asians faced whole corona catastrophe discussed history books ","[]","0.08333333333333333"
"christians arguing conspiracy theories like moslems arguing original injeel use spurious connections poor evidences sustain world view scrutiny collapses sophism corona man made original gospel ","[]","0.11458333333333333"
"confirmed corona kills men ratio 2 male death 1 women recovery","[]","0.2"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"sr advocate rakesh dwivedi donated rs one crore prime minister cares fund aid fight corona ","[]","0"
"u bitches complaining ab able see ur friends cos corona ppl china like havent seen anyone even skl since january","[]","0.5"
"corona song woliagba crew ","['COVID19']","0"
"darling contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0"
"earth sure n t done airports coronavirus came quarantine centres ","[]","0.5"
"bye bye corona sincerely 2pm","[]","0.5"
"australia fast tracked bcg vaccination trial covid 19 germany going try boosted bcg variant urease c gene replaced listeriolysin gene listeria monocytogenes cc","[]","0"
"literally thats evil wicked lady wicked corona","[]","-1"
"corona virus doesnt scare fact world literally coming hault bc kind frightening","[]","0.04999999999999999"
"financially otherwise going feel wrath corona virus rich middle class poor going feel","[]","0.125"
"delayed elixir poisoning care full fail break chain corona win corona win die stalin movie pic","['CanWeBreakTheChain']","0.21666666666666667"
"crime passport holders paid ration card holders class divide times via","['Corona']","0"
"corona gw celebration tiny celebration ","[]","-0.125"
"conditions arised becuase myopic vision mis governance bihar cm ","['NitishMustQuit']","0"
"mot fighting corona fighting poor labour class people ashamed ","[]","-0.4"
"seasonal flu 17 000 deaths year corona 1228 date keep perspective keep calm keep distracted ","[]","0.30000000000000004"
"1 rampur guy calls corona helpline asks samosas 2 repeatedly despite warnings 3 doesnt stop 4 arre samosa bhejo bhai 5 rampur dm gets samosas delivered guy 6 also orders clean drain punishment cc ","[]","0"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","[]","0"
"today whole world accepted staying quarantine way safeguard corona virus virus proved fatal old aged people need time bcoz 84 years old","[]","0.1"
"anyone looking non corona reading heres quick article wrote development iraqi political system post 2003 drawing research 1 3 ","[]","0.16666666666666666"
"exacerbation corona crisis reinforces link gold equities","[]","0"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"europe amp north america theories china dominating asia post corona era begun","[]","0"
"overnight 6 people summonsed offences relating new corona virus legislation protect public included drive due boredom returning parties multiple people household going shops non essential items","[]","0.06818181818181818"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"bet anti vaxxers real quiet corona vaccine comes","[]","0"
"bet anti vaxxers real quiet corona vaccine comes","[]","0"
